City,Basket Ball Fields
San Francisco: 0.32,0.31957446808510637
Boston: 0.45,0.4451063829787234
Washington: 0.47,0.4676595744680851
New York: 0.5,0.5017021276595744
San Diego: 0.51,0.5053191489361702
Long Beach: 0.62,0.6240425531914894
Oakland: 0.74,0.7361702127659574
Seattle: 0.74,0.7387234042553191
Denver: 1.07,1.0691489361702127
Austin: 1.09,1.0910638297872342
Miami: 1.13,1.1257446808510638
Portland: 1.14,1.137872340425532
Charleston: 1.26,1.258936170212766
Chicago: 1.31,1.313404255319149
Minneapolis: 1.39,1.3906382978723404
Sacramento: 1.4,1.3997872340425532
Atlanta: 1.46,1.4572340425531916
Dallas: 1.5,1.4982978723404254
Baltimore: 1.64,1.636595744680851
Phoenix: 1.69,1.6887234042553192
Nashville: 1.73,1.7297872340425533
Fresno: 1.76,1.7582978723404254
Mesa: 1.79,1.787872340425532
Tuscon: 1.87,1.8663829787234043
Colorado Springs: 1.88,1.8829787234042554
Raleigh: 1.88,1.8829787234042554
Las Vegas: 1.97,1.97
Philadelphia: 1.99,1.9885106382978723
Charlotte: 2.17,2.1710638297872342
San Antonio: 2.24,2.2395744680851064
Houston: 2.29,2.287872340425532
New Orleans: 2.42,2.417872340425532
Jacksonville: 2.5,2.503191489361702
Fort Worth: 2.5,2.503191489361702
Arlington: 2.63,2.626808510638298
Memphis: 3.32,3.324468085106383
Cleveland: 4.63,4.62531914893617
Detroit: 17.73,17.730425531914893